Taxa,d13C,d15N
Red Snapper,-14.82,15.47
Red Snapper,-14.89,15.32
Red Snapper,-16.02,14.91
Red Snapper,-14.96,14.73
Red Snapper,-15.25,15.78
Red Snapper,-15.94,15.38
Red Snapper,-15.17,15.11
Red Snapper,-14.96,15.24
Red Snapper,-15.44,14.98
Red Snapper,-15.7,14.92
Red Snapper,-16.18,16
Red Snapper,-16.54,15.13
Red Snapper,-15.91,15.3
Red Snapper,-16.98,15.59
Red Snapper,-15.36,15.33
Red Snapper,-15.69,15.63
Red Snapper,-16.46,15.42
Red Snapper,-16.37,15.52
Red Snapper,-15.72,15.46
Red Snapper,-15.02,15.67
Red Snapper,-15.46,15.62
Red Snapper,-15.78,15.48
Red Snapper,-15.67,15.22
Red Snapper,-15.48,15.65
Red Snapper,-15.38,15.6
Red Snapper,-16.57,15.37
Red Snapper,-16.2,15.23
Red Snapper,-17.22,14.94
Red Snapper,-16.07,15.06
Red Snapper,-14.93,15.97
Grey reef shark,-16.9,14.91
Grey reef shark,-16.72,14.56
Grey reef shark,-16.78,15.31
Grey reef shark,-16.38,15.33
Grey reef shark,-16.97,14.79
Grey reef shark,-16.59,14.86
Grey reef shark,-16.36,14.7
Grey reef shark,-16.53,15.11
Grey reef shark,-17.02,15.07
Grey reef shark,-16.05,15.79
Grey reef shark,-17.22,15.04
Grey reef shark,-16.4,15.13
Grey reef shark,-16.44,14.99
Grey reef shark,-16.65,15.37
Grey reef shark,-16.83,14.99
Grey reef shark,-16.09,15.49
Grey reef shark,-16.33,14.94
Grey reef shark,-16.58,15.52
Grey reef shark,-16.05,15.18
Grey reef shark,-15.89,15.71
Grey reef shark,-16.61,15.09
Grey reef shark,-16.49,15
Grey reef shark,-16.48,14.47
Grey reef shark,-16.51,14.77
Grey reef shark,-16.77,14.48
Grey reef shark,-16.52,14.5
Grey reef shark,-16.43,14.7
Grey reef shark,-16.51,15.34
Grey reef shark,-16.35,14.98
Grey reef shark,-16.5,14.34
Grey reef shark,-16.78,14.69
Grey reef shark,-16.26,15.23
Grey reef shark,-16.64,15.41
Grey reef shark,-16.61,15.12
Grey reef shark,-16.81,14.52
Grey reef shark,-16.7,14.69
Grey reef shark,-16.65,15.25
Grey reef shark,-16.7,15.27
Grey reef shark,-16.87,14.92
Grey reef shark,-16.76,14.53
Grey reef shark,-16.75,14.7
Grey reef shark,-16.45,14.81
Grey reef shark,-16.52,13.93
Grey reef shark,-16.45,14.48
Grey reef shark,-16.5,14.49
Grey reef shark,-16.48,13.95
Grey reef shark,-16.43,13.81
Grey reef shark,-16.12,14.49
Grey reef shark,-16.26,14.17
Grey reef shark,-16.57,13.82
Grey reef shark,-16.53,14.45
Grey reef shark,-16.38,13.92
Grey reef shark,-16.24,15.27
Blacktip shark,-14.74,15.32
Blacktip shark,-14.72,14.99
Blacktip shark,-14.49,15.03
Blacktip shark,-16.8,13.82
Blacktip shark,-15.43,15.19
Blacktip shark,-15.48,15.28
Blacktip shark,-11.96,14.64
Blacktip shark,-14.64,15.44
Blacktip shark,-12.59,14.93
