,d13C,d15N
Reef,-15.08397069,15.47462224
Reef,-15.02601129,14.95905065
Reef,-11.03146608,13.70017862
Reef,-15.17098389,15.18440675
Reef,-15.22724946,15.33782815
Reef,-15.34721609,15.67877149
Reef,-15.94381934,15.3765006
Reef,-15.9572974,15.21001005
Reef,-14.9397661,15.2757039
Reef,-15.14486649,15.40100336
Reef,-15.20441989,15.05232191
Reef,-15.11130648,15.24996709
Reef,-14.83591907,14.88586378
Reef,-14.93309583,15.2784934
Reef,-14.81535359,15.24130773
Reef,-15.09118775,15.25688886
Reef,-14.20359338,15.07507848
Reef,-14.67521114,15.4794259
Reef,-15.06007472,15.54313898
Reef,-14.73930168,15.72951936
Lagoon,-8.443758347,11.38846286
Lagoon,-11.25693299,13.61414035
Lagoon,-7.599888639,11.67681297
Lagoon,-11.74594023,14.71872982
Lagoon,-9.404142406,12.27443298
Lagoon,-7.816187544,11.91028293
Lagoon,-8.703702474,12.09027275
Lagoon,-7.723794307,11.18806728
Lagoon,-12.40152203,15.12945541
Lagoon,-8.326661565,12.11962589
Lagoon,-8.534600611,12.25604709
Lagoon,-8.683622286,12.81101879
Lagoon,-10.85600893,13.30380233
Lagoon,-12.77417262,13.92059311
Lagoon,-8.125974319,12.34874233
Lagoon,-7.71549393,11.7089394
Lagoon,-12.90296578,13.50130352
Lagoon,-9.223603915,12.18357452
Lagoon,-11.1431852,13.73879131
Lagoon,-12.07684414,13.77190765
Lagoon,-9.704524711,12.41816887
Lagoon,-10.47584956,13.07101425
Lagoon,-10.18665493,11.65447792
Lagoon,-11.48794672,14.02534565
Pelagic,-16.90927139,15.12
Pelagic,-16.95493223,13.78
Pelagic,-17.05272973,14.99
Pelagic,-16.71124162,15.9
Pelagic,-16.86445006,15.69
Pelagic,-16.9631407,15.7
Pelagic,-17.00211429,15.67
Pelagic,-16.28968571,13.72
Pelagic,-17.09422857,14.83
Pelagic,-16.8712,15.5
Pelagic,-16.85422857,14.97
Pelagic,-17.02422857,14.64
Pelagic,-17.07271429,15.17
Pelagic,-16.66817143,15.52
Pelagic,-16.89665714,15.51
Pelagic,-16.95514286,15.51
Pelagic,-16.90817143,14.54
Pelagic,-17.35173898,13.03986215
Pelagic,-17.16536913,12.38336261
Pelagic,-17.31823329,13.79692062
Pelagic,-16.71392192,13.45784733
Pelagic,-16.5915397,13.6329982
Pelagic,-16.73928767,14.42137406
Pelagic,-16.83471455,13.69952271
Pelagic,-16.06816013,14.50014851
Pelagic,-16.27772455,14.3270823
Pelagic,-16.41447094,14.39475217
