d13C,d15N,Region,Pack
-23.68,7.96,1,1
-23.61,7.78,1,1
-23.76,7.72,1,1
-23.61,7.77,1,1
-24.37,7.33,1,1
-23.93,7.65,1,1
-23.88,7.46,1,1
-23.66,6.82,1,1
-23.59,6.44,1,1
-22.79,8.31,1,2
-21.08,8.2,1,2
-20.42,8.89,1,2
-20.81,8.88,1,2
-21.04,8.71,1,2
-22.95,7.41,1,2
-23.01,8.56,1,2
-23.45,8.36,1,2
-22.33,8.63,1,3
-23.61,7.28,1,3
-22.8,7.12,1,3
-22.96,6.71,1,3
-19.82,10.86,2,4
-18.07,13.14,2,4
-20.7,10.05,2,4
-19.37,11.06,2,4
-21.14,9.01,2,4
-21.25,9.63,2,4
-20.98,10.25,2,4
-20.4,10.79,2,4
-19.96,11.03,2,4
-23.34,6.9,2,4
-23.06,7.57,2,4
-22.1,8.2,2,4
-20.81,9.89,2,4
-19.75,10.74,2,4
-17.73,13.66,2,5
-18.24,13.09,2,5
-18.74,12.47,2,5
-19.23,11.95,2,5
-16.78,14.29,2,5
-21.17,10.5,2,5
-20.7,10.98,2,5
-21.07,10.32,2,5
-19.07,12.14,2,5
-21.53,10.23,2,5
-18.32,12.87,2,5
-17.32,13.8,2,5
-18.39,13.03,2,5
-23.48,8.1,2,5
-22.82,9.1,2,5
-22.19,9.77,2,5
-22.35,7.31,2,6
-21.7,8.19,2,6
-22.25,7.9,2,6
-22.57,7.62,2,6
-22.08,8.18,2,6
-21.73,8.36,2,6
-17.56,13.26,2,7
-17.68,12.74,2,7
-18.43,13.16,2,7
-18.12,12.68,2,7
-17.17,13.9,3,8
-18.21,13.17,3,8
-16.54,14.32,3,8
-17.47,13.99,3,8
-19.01,12.3,3,8
