id,Group,c14.0,c16.0,c16.1w9,c16.1w7,c16.2w4,c16.3w3,c16.4w3,c17.0,c18.0,c18.1w9,c18.1w7,c18.2w6,c18.3w6,c18.3w3,c18.4w3,c18.5w3,c20.0,c22.0,c20.4w6,c20.5w3,c22.6w3,BrFA
1,1-Karj-Aug,5.6627204,19.08541551,0.843003986,3.355445951,0.136715375,0.066973072,0.123506156,0.850836532,3.546957387,7.844724176,5.123882214,6.960840549,0.574751462,7.533978592,7.065049927,0.100913259,0,0,9.409309755,15.56477067,1.394848079,1.912581528
2,2-Ori1-Aug,5.793051113,22.49634607,0.836398705,9.31733384,0.412958907,0,0,1.632764172,4.492529983,6.753474801,5.911871559,5.84707135,0.202014956,7.132988279,4.731848624,0,0,0.072220684,7.39210248,9.363511229,0.031075056,3.873584674
3,3-Ori1-Sep,6.980329816,17.79243566,0.779369084,7.40924847,0.487090047,0.05533458,0,0.830689165,4.471407212,6.292470444,4.004642311,8.089682145,0.764774098,6.559378286,9.9647998,0.749424287,0.043384146,0.02393964,5.807404162,11.89099978,0.146481804,3.814369056
4,4-Paas-Aug,5.053807605,24.60618355,0.776992004,8.652315524,0.227300247,0,0,1.299362948,6.104424728,10.92735566,6.666325093,5.476025252,0.20612687,8.445573394,4.084509425,0,0,0,4.704391733,8.836178791,0,1.603264812
5,5-Ori2-Aug,5.338375879,25.26897266,1.11552171,7.323368348,0.204623667,0,0,1.500253723,5.199540653,9.28847211,8.62612818,5.520281519,0.233233927,6.654711139,2.582288192,0,0,0.082349906,6.522654061,9.843652899,0.089040917,2.334216192
6,6-Ori2-Sep,5.240767395,19.06917723,0.931399916,12.61367465,1.153710475,0.061397999,0,1.383268901,4.597757471,9.23596057,6.744456174,3.405443286,0.21356474,7.511369559,3.406487918,0,0.087323885,0.102107597,4.882189294,13.07333548,0.198001569,2.37345502
7,7-Suv1-Aug,7.411127645,28.78305076,0.773853161,6.369820137,0.093769187,0,0,1.460261941,6.362238317,12.17559675,7.480715549,5.864904362,0.205675181,6.016280207,3.549774436,0,0,0,3.461326223,5.495450389,0,2.37854056
8,8-Suv1-Sep,4.916952311,19.64892735,0.854435442,9.914172072,0.831407013,0,0,1.398209306,4.997376517,11.27644493,7.530541785,4.105999346,0.27770571,6.123605609,3.379070217,0,0.051800323,0,5.409519132,13.50072417,0.115386067,2.70079209
9,9-Pyha-Aug,5.604900634,23.57088373,0.851582529,5.657884886,0.199554543,0,0,1.197629773,4.225338608,7.236516941,7.253912131,4.003139462,0.153564543,9.949843485,3.958854177,0,0,0,6.667679125,14.46463662,0.531449472,2.507557177
10,10-Pyha-Sep,3.81618826,19.15089627,0.899990744,8.492043049,0.406748449,0,0,1.366436643,5.065219153,11.35316863,9.348122775,3.817844948,0.185494432,7.23351359,2.702350166,0,0,0.07589611,6.83240975,14.51342797,0.078597311,2.390019875
11,11-Suv2-Aug,5.399511603,21.98495499,0.844230973,5.703703524,0.215942916,0,0,1.213578405,3.933830399,7.124979449,6.772417591,5.362293443,0.309350325,9.665456031,4.939433465,0,0,0,7.759283266,13.97908839,0.649121106,2.211089065
12,12-Suv2-Sep,3.696750013,18.97771127,0.74000294,8.169411623,0.953406578,0.027824464,0,1.517451828,4.414158883,7.735078567,7.003225895,3.843741861,0.264582303,7.546727892,5.894646918,0.050755257,0.065802379,0.069142605,5.551310643,16.65515778,0.421737032,2.878489002
13,13-Kall-Aug,6.331775405,23.24917961,0.710272555,9.360961179,0.521306602,0.053489162,0.096748045,1.388788708,3.663816818,5.952426309,4.107057872,4.432774464,0.346196823,11.99413155,7.587336584,0.067926344,0.083488192,0.077873677,3.291754464,9.505323166,0.877379781,2.252000006
14,14-Kall-Sep,3.328587654,17.48574778,0.870344629,7.379997087,0.338055821,0,0,1.883980042,4.610186212,9.989800588,8.690394171,4.250797369,0.273330434,7.523837532,4.365845088,0.029194773,0.028516323,0.026786997,5.479311982,14.97125643,1.07767032,2.518769545
