d13C,d15N,Habitat,Season
-8.62,7.05,seagrass,fall
-9.12,6.79,seagrass,fall
-9.31,7.34,seagrass,fall
-10.17,6.83,seagrass,fall
-9.36,6.36,seagrass,fall
-7.38,6.12,coral,fall
-8.8,7.98,coral,fall
-9.44,6.03,coral,fall
-9.8,7.39,seagrass,spring
-8.95,6.6,seagrass,spring
-9.62,7.35,seagrass,spring
-9.33,7.41,seagrass,spring
-10.21,7.15,seagrass,spring
-10.26,7.58,seagrass,spring
-10.14,7.48,seagrass,spring
-9.79,7.03,seagrass,spring
-11.38,6.81,seagrass,spring
-9.88,7.71,seagrass,spring
-10.9,8,seagrass,spring
-12.49,7.89,coral,spring
-9.93,8.01,coral,spring
-12.74,7.8,coral,spring
-12.29,8.7,coral,spring
-12.1,7.49,coral,spring
-12.08,8.04,coral,spring
-11.71,7.9,coral,spring
-11.67,8.99,coral,spring
-11.76,7.15,coral,spring
-13.15,8.18,coral,spring
-9.8,7.39,seagrass,spring
-8.95,6.6,seagrass,spring
